Category,Size,File,Algorithm,Time(us),Comparisons,Swaps
random,1000,data_129.txt,MergeSort,284,8701,8701
random,1000,data_13.txt,InsertionSort,891,241076,240080
random,1000,data_13.txt,QuickSort,142,11782,6222
random,1000,data_13.txt,MergeSort,267,8715,8715
random,1000,data_130.txt,InsertionSort,900,244610,243620
random,1000,data_130.txt,QuickSort,100,11039,5589
random,1000,data_130.txt,MergeSort,279,8719,8719
random,1000,data_131.txt,InsertionSort,918,255111,254114
random,1000,data_131.txt,QuickSort,107,10191,6219
random,1000,data_131.txt,MergeSort,285,8713,8713
random,1000,data_132.txt,InsertionSort,873,248961,247972
random,1000,data_132.txt,QuickSort,95,10764,5212
random,1000,data_132.txt,MergeSort,271,8724,8724
random,1000,data_133.txt,InsertionSort,889,249460,248466
random,1000,data_133.txt,QuickSort,103,10572,5865
random,1000,data_133.txt,MergeSort,287,8690,8690
random,1000,data_134.txt,InsertionSort,935,257519,256530
random,1000,data_134.txt,QuickSort,100,10169,5394
random,1000,data_134.txt,MergeSort,290,8729,8729
random,1000,data_135.txt,InsertionSort,880,245868,244875
random,1000,data_135.txt,QuickSort,107,11123,5510
random,1000,data_135.txt,MergeSort,273,8696,8696
random,1000,data_136.txt,InsertionSort,928,252169,251174
random,1000,data_136.txt,QuickSort,98,11623,6184
random,1000,data_136.txt,MergeSort,272,8705,8705
random,1000,data_137.txt,InsertionSort,881,254856,253865
random,1000,data_137.txt,QuickSort,97,11475,5867
random,1000,data_137.txt,MergeSort,272,8716,8716
random,1000,data_138.txt,InsertionSort,870,253924,252931
random,1000,data_138.txt,QuickSort,138,11313,5922
random,1000,data_138.txt,MergeSort,267,8710,8710
random,1000,data_139.txt,InsertionSort,1452,254527,253539
random,1000,data_139.txt,QuickSort,99,11185,5808
random,1000,data_139.txt,MergeSort,276,8691,8691
random,1000,data_14.txt,InsertionSort,878,256270,255276
random,1000,data_14.txt,QuickSort,99,10533,6289
random,1000,data_14.txt,MergeSort,272,8703,8703
random,1000,data_140.txt,InsertionSort,881,252948,251958
random,1000,data_140.txt,QuickSort,105,12288,7156
random,1000,data_140.txt,MergeSort,271,8739,8739
random,1000,data_141.txt,InsertionSort,879,251848,250857
random,1000,data_141.txt,QuickSort,105,11307,7062
random,1000,data_141.txt,MergeSort,276,8713,8713
random,1000,data_142.txt,InsertionSort,1737,247168,246176
random,1000,data_142.txt,QuickSort,135,9666,5590
random,1000,data_142.txt,MergeSort,286,8704,8704
random,1000,data_143.txt,InsertionSort,897,253431,252441
random,1000,data_143.txt,QuickSort,105,10528,6212
random,1000,data_143.txt,MergeSort,274,8658,8658
random,1000,data_144.txt,InsertionSort,893,253428,252432
random,1000,data_144.txt,QuickSort,98,11052,5930
random,1000,data_144.txt,MergeSort,275,8735,8735
random,1000,data_145.txt,InsertionSort,881,245050,244055
random,1000,data_145.txt,QuickSort,109,12047,6784
random,1000,data_145.txt,MergeSort,278,8677,8677
random,1000,data_146.txt,InsertionSort,880,247497,246504
random,1000,data_146.txt,QuickSort,127,11074,5797
random,1000,data_146.txt,MergeSort,263,8684,8684
random,1000,data_147.txt,InsertionSort,922,254421,253426
random,1000,data_147.txt,QuickSort,103,10182,5820
random,1000,data_147.txt,MergeSort,279,8694,8694
random,1000,data_148.txt,InsertionSort,885,248614,247617
random,1000,data_148.txt,QuickSort,105,11795,6649
random,1000,data_148.txt,MergeSort,278,8703,8703
random,1000,data_149.txt,InsertionSort,918,259260,258271
random,1000,data_149.txt,QuickSort,102,10384,5987
random,1000,data_149.txt,MergeSort,278,8720,8720
random,1000,data_15.txt,InsertionSort,909,250474,249482
random,1000,data_15.txt,QuickSort,118,11363,6949
random,1000,data_15.txt,MergeSort,300,8685,8685
random,1000,data_150.txt,InsertionSort,831,248496,247509
random,1000,data_150.txt,QuickSort,99,11631,6548
random,1000,data_150.txt,MergeSort,265,8705,8705
random,1000,data_151.txt,InsertionSort,861,252631,251641
random,1000,data_151.txt,QuickSort,99,10967,6600
random,1000,data_151.txt,MergeSort,264,8679,8679
random,1000,data_152.txt,InsertionSort,848,251624,250631
random,1000,data_152.txt,QuickSort,100,12203,6364
random,1000,data_152.txt,MergeSort,266,8701,8701
random,1000,data_153.txt,InsertionSort,840,250588,249596
random,1000,data_153.txt,QuickSort,98,11074,5740
random,1000,data_153.txt,MergeSort,265,8716,8716
random,1000,data_154.txt,InsertionSort,809,240334,239337
random,1000,data_154.txt,QuickSort,97,10577,6089
random,1000,data_154.txt,MergeSort,265,8705,8705
random,1000,data_155.txt,InsertionSort,871,259267,258279
random,1000,data_155.txt,QuickSort,92,10837,5462
random,1000,data_155.txt,MergeSort,687,8701,8701
random,1000,data_156.txt,InsertionSort,849,253276,252279
random,1000,data_156.txt,QuickSort,94,11290,5842
random,1000,data_156.txt,MergeSort,266,8679,8679
random,1000,data_157.txt,InsertionSort,835,247845,246848
random,1000,data_157.txt,QuickSort,96,12521,6025
random,1000,data_157.txt,MergeSort,264,8715,8715
random,1000,data_158.txt,InsertionSort,864,249666,248675
random,1000,data_158.txt,QuickSort,98,11490,6217
random,1000,data_158.txt,MergeSort,265,8681,8681
random,1000,data_159.txt,InsertionSort,848,251575,250587
random,1000,data_159.txt,QuickSort,92,10385,5344
random,1000,data_159.txt,MergeSort,265,8712,8712
random,1000,data_16.txt,InsertionSort,833,256186,255194
random,1000,data_16.txt,QuickSort,118,11492,6343
random,1000,data_16.txt,MergeSort,409,8719,8719
random,1000,data_160.txt,InsertionSort,847,248850,247858
random,1000,data_160.txt,QuickSort,99,10741,6432
random,1000,data_160.txt,MergeSort,267,8699,8699
random,1000,data_161.txt,InsertionSort,897,265286,264293
random,1000,data_161.txt,QuickSort,93,10667,6100
random,1000,data_161.txt,MergeSort,260,8656,8656
random,1000,data_162.txt,InsertionSort,840,253444,252449
random,1000,data_162.txt,QuickSort,93,11147,5793
random,1000,data_162.txt,MergeSort,254,8691,8691
random,1000,data_163.txt,InsertionSort,836,255579,254589
random,1000,data_163.txt,QuickSort,93,11125,6139
random,1000,data_163.txt,MergeSort,255,8711,8711
